,CustomerID,Name,CustomerAge,CustomerGender,FullAddress,City,PhoneNumber,EmailID,DOB
0,U001,Teresa Coleman,90,Female,"589 Julie Cape, Toddberg, AK 15511",Philadelphia,6805671430,stacy06@example.com,1961-05-16
1,U002,April Thompson,27,Male,"819 Davila Gardens, Ingrammouth, OH 73440",New York City,9035430519,wsoto@example.org,1963-12-25
2,U003,Brittany Patel,55,Male,"219 Powell Throughway, Lake Maurice, MA 14763",Chicago,5533860370,oliverelizabeth@example.net,1934-07-19
3,U004,Ricky Christensen,77,Male,"745 Courtney Cliffs Suite 325, New Edward, MI 67479",San Antonio,3968078573,rbarrera@example.com,1944-10-17
4,U005,Dennis Kelly,47,Female,"982 Joseph Port Suite 433, Mariabury, AS 46495",Houston,2506634825,mthomas@example.net,1974-06-30
5,U006,Molly Jackson,26,Female,"390 Kevin Divide Apt. 903, Larryburgh, MH 45179",Chicago,0818216378,blankenshipmichael@example.net,1937-04-10
6,U007,William Gay,30,Male,"4680 Shannon Greens Apt. 332, Lake Jennifer, CT 45451",Philadelphia,3430872159,courtneybutler@example.org,1938-05-08
7,U008,Christopher Ferguson,89,Male,"72346 Price Ferry, Williamsmouth, PR 23941",San Diego,0554438424,monique19@example.net,1981-10-18
8,U009,Elizabeth Roberts,72,Male,"95181 David Glens, Pottsport, AZ 06083",New York City,4626303626,williammiles@example.net,1967-01-21
9,U010,Elizabeth Woodward,49,Male,"467 Casey Point, New Jennifer, FL 15689",San Antonio,2384775301,iwoods@example.net,1937-02-23
10,U011,Mark Anderson,34,Female,"987 Jacqueline Courts, East Sharonview, LA 89663",Philadelphia,8503778418,amy47@example.net,1956-02-22
11,U012,Latoya Banks,52,Female,"485 Jesse Plaza, Ashleyside, MD 84664",Houston,8929633589,valentinematthew@example.com,1941-11-13
12,U013,Jesus Atkinson,72,Male,"737 Kristina Village Suite 751, Russellberg, ND 45110",Houston,8517937578,ejones@example.com,1971-09-01
13,U014,Chad Robinson,73,Male,"2285 Jeremy Ville Suite 355, Lake Janetborough, ME 75864",Chicago,8929752909,matthew15@example.com,1949-03-06
14,U015,Christopher Owens,27,Male,"573 Whitaker Neck Suite 679, Smithport, MO 60768",Phoenix,6699705537,bdixon@example.com,1970-12-18
15,U016,Jonathan Sanchez,89,Male,"78325 Sharon Club, North Kathryn, MT 95318",New York City,1426055801,annakirk@example.net,1988-08-16
16,U017,Derek Berry,89,Male,"573 Sheila Vista, Port Mikayla, NY 80541",Phoenix,6028720131,dtaylor@example.com,1968-12-25
17,U018,Ruth Weiss,25,Male,"96093 Morgan Drive Apt. 047, East Leahland, GA 04980",Dallas,0271685837,krausejanet@example.org,1982-07-29
18,U019,Ashley Cross,71,Female,"22575 Palmer Wells, New Sarah, WY 45987",Los Angeles,2091944097,amyfranklin@example.net,2004-06-28
19,U020,Amy Berry,71,Female,"1637 Glover Parkways Suite 198, Coleshire, TX 51266",Chicago,7692906550,houstonluis@example.org,1984-08-25
20,U021,Michael Kelley,27,Male,"06129 Jordan Mount Suite 435, East Katherine, MI 53219",New York City,0242470343,fgregory@example.net,2001-12-11
21,U022,Austin Poole,77,Female,"6738 Blackburn Gardens Suite 336, North Patrickberg, SC 84128",Phoenix,4008312416,cody44@example.com,2001-04-24
22,U023,Jennifer Wells,21,Female,"91510 Tiffany Groves Apt. 270, Danielfort, NV 76103",Los Angeles,7291274778,cookjames@example.org,1972-03-14
23,U024,Karen Miller,49,Male,"1922 Blackwell Brooks, South Erin, KY 90262",Phoenix,4883556522,phillip27@example.com,1953-10-05
24,U025,Sarah Mcconnell,65,Female,"0669 Scott Courts, Wuport, MA 05702",Houston,8797639567,deborahcollins@example.com,1943-02-04
25,U026,Rachel Edwards,79,Female,"3589 Casey Freeway, Derekchester, GA 21046",New York City,5941711820,dianasmith@example.com,1951-07-18
26,U027,Matthew Goodman,86,Male,"23287 Cervantes Rapids Suite 559, Coryview, OK 46851",Dallas,6544605536,amanda36@example.net,1942-05-29
